SIZE,PARTS,WORKER,uuid,total
32,1,1,0bc8475c-f5ac-41be-ab78-626d2cda382d,2755
32,4,1,02be2f60-33b2-4ab6-8eab-60531b7e30f1,1108
32,4,2,4fc63c24-c76d-4b17-a069-20576d66757a,199889
32,4,4,18334e4b-bb83-4ab5-b135-8c7ded9a2ea8,512
32,16,1,2faa1dc7-8179-4548-809d-a33e67ac68da,9259
32,16,2,c5a5096a-f508-45a9-b11c-9f409be266d4,5258
32,16,4,10a8f1c0-38ec-455c-99b8-f02a36bb5da8,3269
32,16,8,52a05ab7-b21d-4648-91c8-b0796a76e6a4,3086
32,16,16,1fbc6cec-5095-453c-a232-5b2adb767272,2013
32,64,1,f3f90704-ddf0-4f19-b065-dd4352e76959,34751
32,64,2,487cf418-41a8-4215-9a37-ac53c23aa54f,19565
32,64,4,2e6082eb-f5eb-45e0-8082-f15ed7faaa2d,13407
32,64,8,e4611dcc-3ed8-4c8c-b977-fde2e78800b9,11846
32,64,16,03f97f97-ef20-476c-be59-7efa45e1ca29,13689
32,64,32,89bf5594-4ef6-4efb-b87a-dffd93abd12d,11628
32,64,64,60dc0545-e423-4312-afaf-9f20e65236fb,7688
64,1,1,52c90749-ae38-458c-849b-1c2474ec8364,46529
64,4,1,6fb83a62-a8e6-4aef-b832-ca821675e35d,10091
64,4,2,f7927edc-8227-4ab4-935f-f11c518d7149,7864
64,4,4,d66fe23f-3a2b-4daf-b7bf-ae8a8b8677e0,2207
64,16,1,eaeab578-ca3a-42e5-bb56-cdf884ac821b,10621
64,16,2,5223c48d-c6c0-46c8-8afa-8ad58b91c950,5385
64,16,4,34824b2a-b215-434d-be02-7413517c5411,3440
64,16,8,554b75d2-7c9a-4e8a-b580-52d9a2227830,3081
64,16,16,d9704d3b-2f8a-469b-a08b-c7563b6a35d7,2381
64,64,1,f6cbeedd-a31b-4849-a969-2e16fada7f00,36634
64,64,2,9967e3e3-da5b-4858-9353-f75496665b02,22014
64,64,4,f9e9c11f-0173-45a1-a76e-e3a1cd095f0e,13571
64,64,8,1c15889a-8b5a-4143-99a1-b73901b1ac86,11749
64,64,16,9a14dddd-de6e-439d-b3c7-3700bb5e2f24,12591
64,64,32,ec8f15be-3bfb-433d-9c46-7cb6b9de42de,11406
64,64,64,a4d4967d-b87b-4441-8b0e-792b4c09ab8a,8038
64,256,1,be644f52-d7fe-46ea-b2ce-733bcb99a5ea,155368
64,256,2,9a47d0c6-f573-47d8-b249-4866a32283bc,49144
64,256,4,03ed6b49-e02b-4d9b-82a1-20eb06de10e3,29354
64,256,8,7117b551-1a45-4d78-bd33-38914fd9a4dd,43296
64,256,16,3ec63a59-6f48-4c7f-882f-93e8ad8a4f28,25199
64,256,32,a3becbc6-a352-413c-a84a-7bb1a2c601ad,41840
64,256,64,d577092c-c2f8-42e4-9f6e-d35df701064a,14340
64,256,128,27650054-47b4-4307-a113-8457fe30d3cc,53197
64,256,256,39f52a3b-e440-4a24-8a43-5b6727dfb6d1,19515
128,1,1,36def87d-2f1c-41cc-bc87-b63b125b3549,676383
128,4,1,ba70ab67-8669-4a19-b919-6c485cda21bf,82053
128,4,2,80eba9b9-7458-4c72-9ca0-35616ffe5992,83135
128,4,4,22a543fd-2716-4100-a0a6-c496e1b029c4,67389
128,16,1,f6b0ea28-aace-4e2d-b815-6b8ae02c66ea,84230
128,16,2,539e9b7c-4a0d-4bd1-840d-11b078efa1a7,41600
128,16,4,11488355-92f0-4cd9-a2e1-830f2dfe98eb,10603
128,16,8,840cfbbb-dc62-4e89-9722-b1f99541d8e8,5217
128,16,16,c7ae734f-77ba-424b-912e-b63d23c02b45,36905
128,64,1,29a72fcb-0c60-4ccf-8185-1d998fa1cda2,44438
128,64,2,e9abe6a2-2876-4f4e-af23-cbcc4561c2bb,14213
128,64,4,e1223bd1-5df8-420e-bb9a-efbda49a1209,14432
128,64,8,5a3afdd8-8817-4c7f-bdb9-7f714b4aefeb,11215
128,64,16,0350694e-ada2-4d9b-b8d9-b1a3837be796,12686
128,64,32,49ff9618-b782-47c3-9c51-b6089ef6b45e,14460
128,64,64,99a82834-0e4b-4181-bf6c-e1efaf3155ad,52854
128,256,1,f3b2bd3b-0801-46de-ae42-0f49f9e5f2ff,44561
128,256,2,ff4044e1-f110-425a-9254-486715cb8912,64777
128,256,4,4fd3032e-9fc1-41fc-847f-ad40c53806a9,34750
128,256,8,69b7d295-6f41-4b94-afc5-7fd168488af6,24193
128,256,16,5abe8806-aff3-477c-9c15-b3bc3a2a7167,24168
128,256,32,3d232442-f6af-42a2-bf24-a8a5590a06ca,39451
128,256,64,9459a6ed-863f-45ab-b7b7-214b35f9603c,35136
128,256,128,307c2cee-4001-4064-9a96-b1c82d7ff5c8,40083
128,256,256,085be162-96f2-449e-8862-6d9f54bff777,
128,1024,1,bafedc06-11dc-4925-afaa-50658d798cf8,386040
128,1024,2,9edf1824-3e8c-47d8-89bb-722bc07450aa,315851
128,1024,4,23acd5bb-3e8c-4a49-acd0-4afa10d0eae8,64617
128,1024,8,168ea06f-f8fc-493d-a0c3-165cc35a356b,105309
128,1024,16,78354163-037e-40ee-8690-7c683886c39a,134820
128,1024,32,702e119e-d363-421a-9253-6bf80fba7d0d,44433
128,1024,64,95cbd23c-b2b9-4552-951e-24f3e1ad5fcd,151721
128,1024,128,6eec91ae-708d-4998-a7f9-3a758503342e,14990
128,1024,256,ff9a2885-59ca-4db2-87a5-82e8daabeb63,83402
128,1024,512,a7b3a2da-d427-4565-a7cd-a37cab95d9f0,34329
256,1,0
256,4,0
256,4,0
256,4,4,e02a298a-7ed2-4731-a048-730c137afac5,907731
256,16,0
256,16,0
256,16,4,60d845e9-6ad5-4b5d-b597-1be8d4f380ee,233481
256,16,8,52934e1a-3f49-4d05-8e55-f4cfc279c347,129299
256,16,16,6ac28d23-8937-42d3-a0a1-7454f469a6d1,127994
256,64,0
256,64,0
256,64,4,ae9759ff-452e-49c5-9f95-9a691375d372,140390
256,64,8,f6472536-139f-4f92-8134-53a8078846d4,50200
256,64,16,36ae6cdc-a196-46a8-a1ae-f5a8fcf9a31e,16769
256,64,32,dd37e554-b7f1-4542-acf0-76a42c4bceb2,133940
256,64,64,a679e207-19c4-4dd1-a4dc-3af8e1b2b9b8,42304
256,256,0
256,256,0
256,256,4,ce0096bc-386e-4dcf-9b73-7326bb11b18c,99790
256,256,8,b4d248bd-1f45-406d-8fe1-e3f615cffc16,24344
256,256,16,33ca0999-45c1-4f7f-a8ae-22cdcf56b307,48840
256,256,32,123f6aef-bdb1-44ee-a814-afa8f11a961a,48583
256,256,64,2debfddd-1450-4a43-a2e5-ac19c554e0b0,58497
256,256,128,1e14f4a8-134e-4dd6-a05a-a99033c36dcf,245802
256,256,256,d468eded-496b-484e-9602-c3f77ea11830,44728
256,1024,0
256,1024,0
256,1024,4,23a47092-5b95-4c4e-ab1e-89b306ee4d7a,185214
256,1024,88,62c4e91d-afd0-4e14-ae56-b387867f1938,124736
256,1024,16,4f777002-cb52-4f05-966a-c0fceb1081cc,53908
256,1024,32,37de81da-ec34-43fe-bac4-05964cc65fe3,32009
256,1024,64,d00d3d2c-61af-4ed3-8c4d-04f2aa860944,80627
256,1024,128,70f1b702-ed2d-41f3-9228-366b830fe458,244137
256,1024,256,f6e98c43-81e8-40ba-bce3-335906a7950d,70662
256,1024,512
